TRAIL 10ng/ml,,,,,,,
Cell #,Surviving,Time pre-MOMP,Max C8 activity pre-MOMP,Time of Max C8 activity (tau),k,t0,r2 of fit
1,1,Inf,0.0010928,190,3.34E-06,45.1572,0.87478
2,1,Inf,0.00052276,190,0,0,0
3,1,Inf,0.00069808,185,5.71E-06,99.5228,0.95018
4,1,Inf,0.0018959,275,8.79E-07,-29.9984,0.61253
5,1,Inf,0.00058788,445,5.44E-07,35.3744,0.9351
6,1,Inf,0.0016414,175,0,0,0
7,1,Inf,0.00079634,175,8.47E-06,108.8408,0.5938
8,1,Inf,0.0007842,175,0,0,0
9,1,Inf,0.00055533,265,1.18E-06,18.9268,0.92611
10,1,Inf,0.00070115,265,0,0,0
11,1,Inf,0.0015176,415,3.13E-06,193.3656,0.7782
12,1,Inf,0.0014325,440,1.00E-06,-30,0.9035
13,1,Inf,0.00061984,275,1.66E-06,56.8728,0.99225
14,1,Inf,0.0008225,375,2.27E-06,-6.0766,0.92901
15,1,Inf,0.00301,335,5.16E-06,12.0004,0.99947
16,1,Inf,0.003531,260,5.85E-06,1.5149,0.99176
17,1,Inf,0.0009448,560,5.43E-07,-29.999,0.97733
18,1,Inf,0.0017349,320,2.38E-06,-9.9536,0.99617
19,1,Inf,0.00058581,435,5.56E-07,-30,0.75851
20,1,Inf,0.00080584,310,1.49E-06,5.2994,0.99292
21,1,Inf,0.00079915,255,2.55E-06,57.1067,0.98522
22,1,Inf,0.00069192,290,1.42E-06,14.4141,0.99124
23,1,Inf,0.0006967,190,1.49E-06,-15.5308,0.98871
24,1,Inf,0.0024597,315,4.38E-06,18.2332,0.9953
25,0,300,0.0035265,300,5.42E-06,24.8226,0.99294
26,1,Inf,0.00034295,445,2.66E-07,-29.9987,0.92133
27,0,80,0.0051894,80,7.04E-05,46.185,0.99807
28,1,Inf,0.0010663,190,3.54E-06,24.3436,0.99933
29,1,Inf,0.0017269,295,4.72E-06,43.1373,0.99296
30,0,130,0.0051311,130,1.39E-05,39.6462,0.97003
31,1,Inf,0.0024982,225,7.05E-06,39.8413,0.99783
32,0,170,0.0053742,170,1.39E-05,58.2692,0.99049
33,1,Inf,0.00053548,420,6.16E-07,-29.9999,0.95124
34,1,Inf,0.0011917,210,5.93E-06,86.4874,0.94335
35,0,270,0.0034121,225,1.02E-05,52.4831,0.99611
36,1,Inf,0.00092623,295,2.03E-06,51.3554,0.99324
37,1,Inf,0.00077877,325,1.75E-06,36.7047,0.98245
38,0,265,0.0040278,265,5.24E-06,62.5778,0.99334
39,0,270,0.0036663,270,7.86E-06,56.6441,0.99695
