TRAIL_conc,simulation,apoptosis
50ng/mL,0,1
50ng/mL,1,0
50ng/mL,2,0
50ng/mL,3,1
50ng/mL,4,1
50ng/mL,5,0
50ng/mL,6,1
50ng/mL,7,0
50ng/mL,8,0
50ng/mL,9,1
50ng/mL,10,1
50ng/mL,11,1
50ng/mL,12,0
50ng/mL,13,1
50ng/mL,14,1
50ng/mL,15,1
50ng/mL,16,0
50ng/mL,17,1
50ng/mL,18,0
50ng/mL,19,0
50ng/mL,20,1
50ng/mL,21,1
50ng/mL,22,1
50ng/mL,23,1
50ng/mL,24,1
50ng/mL,25,0
50ng/mL,26,1
50ng/mL,27,0
50ng/mL,28,0
50ng/mL,29,1
50ng/mL,30,1
50ng/mL,31,0
50ng/mL,32,1
50ng/mL,33,0
50ng/mL,34,0
50ng/mL,35,1
50ng/mL,36,1
50ng/mL,37,1
50ng/mL,38,1
50ng/mL,39,1
50ng/mL,40,0
50ng/mL,41,1
50ng/mL,42,0
50ng/mL,43,1
50ng/mL,44,0
50ng/mL,45,1
50ng/mL,46,0
50ng/mL,47,1
50ng/mL,48,1
50ng/mL,49,0
10ng/mL,50,0
10ng/mL,51,1
10ng/mL,52,0
10ng/mL,53,0
10ng/mL,54,0
10ng/mL,55,0
10ng/mL,56,0
10ng/mL,57,1
10ng/mL,58,0
10ng/mL,59,0
10ng/mL,60,0
10ng/mL,61,0
10ng/mL,62,0
10ng/mL,63,0
10ng/mL,64,1
10ng/mL,65,1
10ng/mL,66,0
10ng/mL,67,0
10ng/mL,68,1
10ng/mL,69,0
10ng/mL,70,0
10ng/mL,71,0
10ng/mL,72,0
10ng/mL,73,0
10ng/mL,74,0
10ng/mL,75,1
10ng/mL,76,0
10ng/mL,77,1
10ng/mL,78,0
10ng/mL,79,0
10ng/mL,80,0
10ng/mL,81,0
10ng/mL,82,1
10ng/mL,83,0
10ng/mL,84,0
10ng/mL,85,0
10ng/mL,86,1
10ng/mL,87,0
10ng/mL,88,0
10ng/mL,89,0
10ng/mL,90,0
10ng/mL,91,0
10ng/mL,92,0
10ng/mL,93,0
10ng/mL,94,0
10ng/mL,95,1
10ng/mL,96,0
10ng/mL,97,1
10ng/mL,98,0
10ng/mL,99,0
