simulation,L_0,kc1,kc2,kc3,kc4,kc5,kc6,kc7,kc8,kc9,kf0,kf1,kf2,kf3,kf4,kf5,kf6,kf7,kf8,kr0,kr1,kr2,kr3,kr4,kr5,kr6,kr7,kr8,MOMP_sig_0,USM1_0,USM2_0,USM3_0,kc0,TRAIL_conc
0,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,121266.0970980103,749.8131779846296,847.0912826911701,1029.8892521252744,1.3120600529112064e-05,50ng/mL
1,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,99710.30176556243,746.5412989733157,864.9349823093389,991.3490023451976,6.9467285384995494e-06,50ng/mL
2,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,99449.47605597427,1088.26548722752,838.4966464237755,867.0257020154967,1.2871738814364092e-05,50ng/mL
3,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,127759.31585491693,900.4394219873478,1030.3983339264544,837.1996219297401,1.01422673875929e-05,50ng/mL
4,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,98118.71043614185,1384.5844465847522,966.0819099994367,1225.740624311191,9.801123150919577e-06,50ng/mL
5,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,78713.37977837164,1143.6369467988072,1321.5868910207876,912.5148749620823,1.1716188366596405e-05,50ng/mL
6,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,104135.84624084094,879.6068981864171,709.7115094875035,595.4573870780551,9.755477256711206e-06,50ng/mL
7,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,104448.33013033467,1195.5291594620553,736.083775228677,893.3222418893288,1.0541190072937264e-05,50ng/mL
8,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,94353.91519294275,1025.2624433243104,1110.4033119788414,1019.4730772042486,9.449229466541221e-06,50ng/mL
9,3000.0,0.3293555993946035,0.01092718274749643,0.02953305942514223,0.003390591042281409,8.496120256720222e-06,0.0051848572610866395,0.0039003962027215244,0.16779929893524126,8.285712780185141e-08,1.155949330868682e-07,1.9308364494918976e-06,1.48867282480569e-08,3.82096808556188e-06,1.6160929670043826e-05,8.691830819124296e-10,7.691742022159218e-07,1.9819548490104475e-05,1.7604007446693445e-05,1.0405613413024501e-05,0.0017144670166327456,0.06876310841811545,1.392299998101019e-05,0.017181813841895544,0.001156199031945081,0.0007354175896526466,0.00018218241561296968,0.0013485480390155733,89921.34696260403,1146.4403890079109,835.9374698863631,865.9680698228316,1.5400015233793043e-05,50ng/mL
